Airline,Origin,mean
"Commutair Aka Champlain Enterprises, Inc.",ACK,23.54696132596685
"Commutair Aka Champlain Enterprises, Inc.",ALB,22.12017738359202
"Commutair Aka Champlain Enterprises, Inc.",AVL,22.810344827586206
"Commutair Aka Champlain Enterprises, Inc.",AVP,20.22608695652174
"Commutair Aka Champlain Enterprises, Inc.",BDL,21.879310344827587
"Commutair Aka Champlain Enterprises, Inc.",BGR,25.59090909090909
"Commutair Aka Champlain Enterprises, Inc.",BNA,19.439393939393938
"Commutair Aka Champlain Enterprises, Inc.",BTV,20.757056451612904
"Commutair Aka Champlain Enterprises, Inc.",BUF,22.76066597294485
"Commutair Aka Champlain Enterprises, Inc.",BWI,28.069767441860463
"Commutair Aka Champlain Enterprises, Inc.",CAE,10.0
"Commutair Aka Champlain Enterprises, Inc.",CHO,12.790322580645162
"Commutair Aka Champlain Enterprises, Inc.",CHS,21.50194552529183
"Commutair Aka Champlain Enterprises, Inc.",CLE,20.9010101010101
"Commutair Aka Champlain Enterprises, Inc.",CMH,21.634387351778656
"Commutair Aka Champlain Enterprises, Inc.",CRW,27.045454545454547
"Commutair Aka Champlain Enterprises, Inc.",DAY,16.91304347826087
"Commutair Aka Champlain Enterprises, Inc.",ELM,22.767857142857142
"Commutair Aka Champlain Enterprises, Inc.",EWR,27.465378119722274
"Commutair Aka Champlain Enterprises, Inc.",FAY,18.492822966507177
"Commutair Aka Champlain Enterprises, Inc.",GRR,19.313840155945417
"Commutair Aka Champlain Enterprises, Inc.",GSO,23.35007385524372
"Commutair Aka Champlain Enterprises, Inc.",GSP,19.884381338742394
"Commutair Aka Champlain Enterprises, Inc.",IAD,24.832809158384702
"Commutair Aka Champlain Enterprises, Inc.",IND,19.74017094017094
"Commutair Aka Champlain Enterprises, Inc.",ITH,21.25390625
"Commutair Aka Champlain Enterprises, Inc.",JAX,18.642590286425904
"Commutair Aka Champlain Enterprises, Inc.",LEX,20.32758620689655
"Commutair Aka Champlain Enterprises, Inc.",MDT,15.224932249322492
"Commutair Aka Champlain Enterprises, Inc.",MEM,22.178571428571427
"Commutair Aka Champlain Enterprises, Inc.",MHT,24.293785310734464
"Commutair Aka Champlain Enterprises, Inc.",MKE,23.862876254180602
"Commutair Aka Champlain Enterprises, Inc.",ORF,23.136363636363637
"Commutair Aka Champlain Enterprises, Inc.",PHL,23.093333333333334
"Commutair Aka Champlain Enterprises, Inc.",PQI,23.69
